bank_transaction_id,reference,credit_amount,debit_amount,transaction_date,description,balance,source
BTX_001,UTR_888001X,1894.2160,0.00,2026-08-11,SETTLEMENT FROM PG UTR:UTR_888001X,601894.2160,HDFC
BTX_002,UTR_888002X,17082.3816,0.00,2026-08-07,SETTLEMENT FROM PG UTR:UTR_888002X,717082.3816,HDFC
BTX_003,UTR_888003X,13484.72,0.00,2026-08-08,SETTLEMENT PARTIAL FROM PG UTR:UTR_888003X,813484.72,HDFC
BTX_004,UTR_888004X,5331.2758,0.00,2026-08-09,SETTLEMENT FROM PG UTR:UTR_888004X,905331.2758,ICICI
BTX_005,UTR_888004X,5331.2758,0.00,2026-08-09,DUPLICATE SETTLEMENT FROM PG UTR:UTR_888004X,910662.5516,ICICI
BTX_006,BANK TRANSFER DEPOSIT,22334.6618,0.00,2026-08-10,PAYMENT OUT FROM PG PARTNER,972334.6618,ICICI
BTX_007,UTR_888008X,23929.8056,0.00,2026-08-13,SETTLEMENT FROM PG UTR:UTR_888008X,523929.8056,HDFC
BTX_008,UTR_888009X,28107.2358,0.00,2026-08-19,SETTLEMENT FROM PG UTR:UTR_888009X,628107.2358,HDFC
BTX_009,UTR_888010X,13374.6278,0.00,2026-08-15,SETTLEMENT FROM PG UTR:UTR_888010X,713374.6278,HDFC
BTX_010,UTR_888011X,21908.61,0.00,2026-08-16,SETTLEMENT PARTIAL FROM PG UTR:UTR_888011X,821908.61,HDFC
BTX_011,UTR_888012X,3062.9118,0.00,2026-08-17,SETTLEMENT FROM PG UTR:UTR_888012X,903062.9118,ICICI
BTX_012,UTR_888012X,3062.9118,0.00,2026-08-17,DUPLICATE SETTLEMENT FROM PG UTR:UTR_888012X,906125.8236,ICICI
BTX_013,BANK TRANSFER DEPOSIT,21812.7760,0.00,2026-08-18,PAYMENT OUT FROM PG PARTNER,971812.7760,ICICI
BTX_014,UTR_888016X,21217.9798,0.00,2026-08-21,SETTLEMENT FROM PG UTR:UTR_888016X,521217.9798,HDFC
BTX_015,UTR_888017X,40261.3658,0.00,2026-08-27,SETTLEMENT FROM PG UTR:UTR_888017X,640261.3658,HDFC
BTX_016,UTR_888018X,12006.2638,0.00,2026-08-23,SETTLEMENT FROM PG UTR:UTR_888018X,712006.2638,HDFC
BTX_017,UTR_888019X,22240.44,0.00,2026-08-24,SETTLEMENT PARTIAL FROM PG UTR:UTR_888019X,822240.44,HDFC
BTX_018,UTR_888020X,37824.6536,0.00,2026-08-25,SETTLEMENT FROM PG UTR:UTR_888020X,937824.6536,ICICI
BTX_019,UTR_888020X,37824.6536,0.00,2026-08-25,DUPLICATE SETTLEMENT FROM PG UTR:UTR_888020X,975649.3072,ICICI
BTX_020,BANK TRANSFER DEPOSIT,43790.4648,0.00,2026-08-26,PAYMENT OUT FROM PG PARTNER,993790.4648,ICICI
BTX_021,UTR_888024X,20989.6158,0.00,2026-08-29,SETTLEMENT FROM PG UTR:UTR_888024X,520989.6158,HDFC
BTX_022,UTR_888025X,41731.3360,0.00,2026-09-04,SETTLEMENT FROM PG UTR:UTR_888025X,641731.3360,HDFC
BTX_023,UTR_888026X,44872.0776,0.00,2026-08-31,SETTLEMENT FROM PG UTR:UTR_888026X,744872.0776,HDFC
BTX_024,UTR_888027X,38498.10,0.00,2026-09-01,SETTLEMENT PARTIAL FROM PG UTR:UTR_888027X,838498.10,HDFC
BTX_025,UTR_888028X,34955.7088,0.00,2026-09-02,SETTLEMENT FROM PG UTR:UTR_888028X,934955.7088,ICICI
BTX_026,UTR_888028X,34955.7088,0.00,2026-09-02,DUPLICATE SETTLEMENT FROM PG UTR:UTR_888028X,969911.4176,ICICI
BTX_027,BANK TRANSFER DEPOSIT,48619.3498,0.00,2026-09-03,PAYMENT OUT FROM PG PARTNER,998619.3498,ICICI
BTX_028,UTR_888032X,18344.6216,0.00,2026-09-06,SETTLEMENT FROM PG UTR:UTR_888032X,518344.6216,HDFC
BTX_029,UTR_888033X,21021.4038,0.00,2026-09-12,SETTLEMENT FROM PG UTR:UTR_888033X,621021.4038,HDFC
BTX_030,UTR_888034X,6988.7958,0.00,2026-09-08,SETTLEMENT FROM PG UTR:UTR_888034X,706988.7958,HDFC
BTX_031,UTR_888035X,16000.92,0.00,2026-09-09,SETTLEMENT PARTIAL FROM PG UTR:UTR_888035X,816000.92,HDFC
BTX_032,UTR_888036X,-4262.9202,0.00,2026-09-10,SETTLEMENT FROM PG UTR:UTR_888036X,895737.0798,ICICI
BTX_033,UTR_888036X,-4262.9202,0.00,2026-09-10,DUPLICATE SETTLEMENT FROM PG UTR:UTR_888036X,891474.1596,ICICI
BTX_034,BANK TRANSFER DEPOSIT,13806.2960,0.00,2026-09-11,PAYMENT OUT FROM PG PARTNER,963806.2960,ICICI
BTX_035,UTR_888040X,14832.1478,0.00,2026-09-14,SETTLEMENT FROM PG UTR:UTR_888040X,514832.1478,HDFC
BTX_036,UTR_888041X,33055.5338,0.00,2026-09-20,SETTLEMENT FROM PG UTR:UTR_888041X,633055.5338,HDFC
BTX_037,UTR_888042X,3905.4568,0.00,2026-09-16,SETTLEMENT FROM PG UTR:UTR_888042X,703905.4568,HDFC
BTX_038,UTR_888043X,16635.90,0.00,2026-09-17,SETTLEMENT PARTIAL FROM PG UTR:UTR_888043X,816635.90,HDFC
BTX_039,UTR_888044X,32239.4696,0.00,2026-09-18,SETTLEMENT FROM PG UTR:UTR_888044X,932239.4696,ICICI
BTX_040,UTR_888044X,32239.4696,0.00,2026-09-18,DUPLICATE SETTLEMENT FROM PG UTR:UTR_888044X,964478.9392,ICICI
BTX_041,BANK TRANSFER DEPOSIT,38828.1078,0.00,2026-09-19,PAYMENT OUT FROM PG PARTNER,988828.1078,ICICI
BTX_042,GENERIC CREDIT,22222.0000,0.00,2026-08-11,SETTLEMENT FROM PG PARTNER,1022222.0000,ICICI
BTX_043,REF_NOISE_01,3150.75,0.00,2026-08-11,INTEREST CREDIT / NOISE TXN 1,2003150.75,HDFC
BTX_044,REF_NOISE_02,3300.75,0.00,2026-08-12,INTEREST CREDIT / NOISE TXN 2,2003300.75,HDFC
BTX_045,REF_NOISE_03,3450.75,0.00,2026-08-13,INTEREST CREDIT / NOISE TXN 3,2003450.75,HDFC
BTX_046,REF_NOISE_04,3600.75,0.00,2026-08-14,INTEREST CREDIT / NOISE TXN 4,2003600.75,HDFC
BTX_047,REF_NOISE_05,3750.75,0.00,2026-08-15,INTEREST CREDIT / NOISE TXN 5,2003750.75,HDFC
BTX_048,REF_NOISE_06,3900.75,0.00,2026-08-16,INTEREST CREDIT / NOISE TXN 6,2003900.75,HDFC
BTX_049,REF_NOISE_07,4050.75,0.00,2026-08-17,INTEREST CREDIT / NOISE TXN 7,2004050.75,HDFC
BTX_050,REF_NOISE_08,4200.75,0.00,2026-08-18,INTEREST CREDIT / NOISE TXN 8,2004200.75,HDFC
BTX_051,REF_NOISE_09,4350.75,0.00,2026-08-19,INTEREST CREDIT / NOISE TXN 9,2004350.75,HDFC
BTX_052,REF_NOISE_10,4500.75,0.00,2026-08-20,INTEREST CREDIT / NOISE TXN 10,2004500.75,HDFC
