payment_id,order_id,customer_id,amount,currency,payment_method,status,created_at,settlement_batch_id
PAY_001,ORD_1001,CUST_501,117.50,INR,CARD,CAPTURED,2026-08-01T11:00:00,SET_1001
PAY_002,ORD_1002,CUST_502,134.50,INR,NETBANKING,CAPTURED,2026-08-01T13:00:00,SET_1001
PAY_003,ORD_1003,CUST_503,151.50,INR,UPI,CAPTURED,2026-08-01T15:00:00,SET_1001
PAY_004,ORD_1004,CUST_504,168.50,INR,CARD,CAPTURED,2026-08-01T17:00:00,SET_1001
PAY_005,ORD_1005,CUST_505,185.50,INR,NETBANKING,CAPTURED,2026-08-01T19:00:00,SET_1001
PAY_006,ORD_1006,CUST_506,202.50,INR,UPI,CAPTURED,2026-08-01T21:00:00,SET_1001
PAY_007,ORD_1007,CUST_507,219.50,INR,CARD,CAPTURED,2026-08-01T23:00:00,SET_1001
PAY_008,ORD_1008,CUST_508,236.50,INR,NETBANKING,CAPTURED,2026-08-02T01:00:00,SET_1001
PAY_009,ORD_1009,CUST_509,253.50,INR,UPI,CAPTURED,2026-08-02T03:00:00,SET_1001
PAY_010,ORD_1010,CUST_510,270.50,INR,CARD,CAPTURED,2026-08-02T05:00:00,SET_1001
PAY_011,ORD_1011,CUST_511,287.50,INR,NETBANKING,CAPTURED,2026-08-02T07:00:00,SET_1002
PAY_012,ORD_1012,CUST_512,304.50,INR,UPI,CAPTURED,2026-08-02T09:00:00,SET_1002
PAY_013,ORD_1013,CUST_513,321.50,INR,CARD,CAPTURED,2026-08-02T11:00:00,SET_1002
PAY_014,ORD_1014,CUST_514,338.50,INR,NETBANKING,CAPTURED,2026-08-02T13:00:00,SET_1002
PAY_015,ORD_1015,CUST_515,15000.00,INR,UPI,CAPTURED,2026-08-02T15:00:00,SET_1002
PAY_016,ORD_1016,CUST_516,372.50,INR,CARD,CAPTURED,2026-08-02T17:00:00,SET_1002
PAY_017,ORD_1017,CUST_517,389.50,INR,NETBANKING,CAPTURED,2026-08-02T19:00:00,SET_1002
PAY_018,ORD_1018,CUST_518,406.50,INR,UPI,CAPTURED,2026-08-02T21:00:00,SET_1002
