settlement_id,merchant_id,gross_amount,gateway_fee,fee_tax,refunds,adjustments,reserves,net_amount,settlement_date,expected_credit_date,status,utr
SET_1001,MER_RAZORPAY_01,1940.0000,38.8000,6.9840,0.0000,0.0000,0.0000,1894.2160,2026-08-04,2026-08-06,PENDING,UTR_888001X
SET_1002,MER_RAZORPAY_01,17844.0000,356.8800,64.2384,440.5000,0.0000,0.0000,17082.3816,2026-08-05,2026-08-07,PENDING,UTR_888002X
SET_1003,MER_RAZORPAY_01,19729.5000,394.5900,71.0262,0.0000,0.0000,0.0000,19263.8838,2026-08-06,2026-08-08,PENDING,UTR_888003X
SET_1004,MER_RAZORPAY_01,6259.5000,125.1900,22.5342,780.5000,0.0000,0.0000,5331.2758,2026-08-07,2026-08-09,PENDING,UTR_888004X
SET_1005,MER_RAZORPAY_01,22874.5000,457.4900,82.3482,0.0000,0.0000,0.0000,22334.6618,2026-08-08,2026-08-10,PENDING,UTR_888005X
SET_1006,MER_RAZORPAY_01,9319.5000,186.3900,33.5502,15000.0000,0.0000,0.0000,22222.0000,2026-08-09,2026-08-11,PENDING,UTR_888006X
SET_1007,MER_RAZORPAY_01,12140.0000,242.8000,43.7040,0.0000,0.0000,607.0000,11246.4960,2026-08-10,2026-08-12,PENDING,UTR_888007X
SET_1008,MER_RAZORPAY_01,26004.0000,520.0800,93.6144,1460.5000,0.0000,0.0000,23929.8056,2026-08-11,2026-08-13,PENDING,UTR_888008X
SET_1009,MER_RAZORPAY_01,28909.5000,578.1900,104.0742,0.0000,120.0000,0.0000,28107.2358,2026-08-12,2026-08-14,PENDING,UTR_888009X
SET_1010,MER_RAZORPAY_01,15439.5000,308.7900,55.5822,1800.5000,0.0000,0.0000,13374.6278,2026-08-13,2026-08-15,PENDING,UTR_888010X
SET_1011,MER_RAZORPAY_01,32054.5000,641.0900,115.3962,0.0000,0.0000,0.0000,31298.0138,2026-08-14,2026-08-16,PENDING,UTR_888011X
SET_1012,MER_RAZORPAY_01,18499.5000,369.9900,66.5982,15000.0000,0.0000,0.0000,3062.9118,2026-08-15,2026-08-17,PENDING,UTR_888012X
