settlement_batch_id,payment_id,gross_amount,fee_amount,tax_amount,adjustment_amount,net_contribution
SET_1001,PAY_001,117.50,2.3500,0.4230,0.0000,114.7270
SET_1001,PAY_002,134.50,2.6900,0.4842,0.0000,131.3258
SET_1001,PAY_003,151.50,3.0300,0.5454,0.0000,147.9246
SET_1001,PAY_004,168.50,3.3700,0.6066,0.0000,164.5234
SET_1001,PAY_005,185.50,3.7100,0.6678,0.0000,181.1222
SET_1001,PAY_006,202.50,4.0500,0.7290,0.0000,197.7210
SET_1001,PAY_007,219.50,4.3900,0.7902,0.0000,214.3198
SET_1001,PAY_008,236.50,4.7300,0.8514,0.0000,230.9186
SET_1001,PAY_009,253.50,5.0700,0.9126,0.0000,247.5174
SET_1001,PAY_010,270.50,5.4100,0.9738,0.0000,264.1162
SET_1002,PAY_011,287.50,5.7500,1.0350,0.0000,280.7150
SET_1002,PAY_012,304.50,6.0900,1.0962,0.0000,297.3138
SET_1002,PAY_013,321.50,6.4300,1.1574,0.0000,313.9126
SET_1002,PAY_014,338.50,6.7700,1.2186,0.0000,330.5114
SET_1002,PAY_015,15000.00,300.0000,54.0000,0.0000,14646.0000
SET_1002,PAY_016,372.50,7.4500,1.3410,0.0000,363.7090
SET_1002,PAY_017,389.50,7.7900,1.4022,0.0000,380.3078
SET_1002,PAY_018,406.50,8.1300,1.4634,0.0000,396.9066
SET_1002,PAY_019,423.50,8.4700,1.5246,0.0000,413.5054
SET_1002,PAY_020,440.50,0.0000,0.0000,440.50,0.0000
SET_1003,PAY_021,457.50,9.1500,1.6470,0.0000,446.7030
SET_1003,PAY_022,474.50,9.4900,1.7082,0.0000,463.3018
SET_1003,PAY_023,491.50,9.8300,1.7694,0.0000,479.9006
SET_1003,PAY_024,508.50,10.1700,1.8306,0.0000,496.4994
SET_1003,PAY_025,525.50,10.5100,1.8918,0.0000,513.0982
SET_1003,PAY_026,542.50,10.8500,1.9530,0.0000,529.6970
SET_1003,PAY_027,559.50,11.1900,2.0142,0.0000,546.2958
SET_1003,PAY_028,576.50,11.5300,2.0754,0.0000,562.8946
